id_product,id_color,productNo,color,productNameENG,productNameJP,price,cost,blfCode,smaregi,serepouse,sokko,amazon,rakuten,id_category,category,id_condition,condition,id_groupColor,colorGroup,id_productState,status
1,4,4571317083117,BN,長財布(小銭有り)【BN】ブラックネイビー,長財布(小銭有り)【BN】ブラックネイビー,8999,1545.00000,4571317083117BN,4571317083117,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
2,3,4571317083124,BK,長財布(小銭有り)【BK】ブラック,長財布(小銭有り)【BK】ブラック,8999,1545.00000,4571317083124BK,4571317083124,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
3,12,4571317083131,DB,長財布(小銭有り)【DB】ダークブラウン,長財布(小銭有り)【DB】ダークブラウン,8999,1545.00000,4571317083131DB,4571317083131,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
4,11,4573257970014,BG,長財布(小銭有り)【BG】ブラックグリーン,長財布(小銭有り)【BG】ブラックグリーン,8999,1545.00000,4573257970014BG,4573257970014,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
5,-,4573257970021,ロイヤルグリーン,長財布(小銭有り)/RG/ロイヤルグリーン,長財布(小銭有り)/RG/ロイヤルグリーン,8999,1545.00000,4573257970021ロイヤルグリーン,4573257970021,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
6,5,4573257970038,CB,長財布(小銭有り)【CB】キャメルブラウン,長財布(小銭有り)【CB】キャメルブラウン,8999,1545.00000,4573257970038CB,4573257970038,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
7,-,4573257970045,トラッドネイビー,長財布(小銭有り)/TN/トラッドネイビー,長財布(小銭有り)/TN/トラッドネイビー,8999,1545.00000,4573257970045トラッドネイビー,4573257970045,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
8,-,4573257970052,ワインレッド,長財布(小銭有り)/WR/ワインレッド,長財布(小銭有り)/WR/ワインレッド,8999,1545.00000,4573257970052ワインレッド,4573257970052,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
9,8,4573257970069,WB,長財布(小銭有り)【WB】ホワイトベージュ,長財布(小銭有り)【WB】ホワイトベージュ,8999,1545.00000,4573257970069WB,4573257970069,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
10,15,4573257970076,GB,長財布(小銭有り)【GB】グレーベージュ,長財布(小銭有り)【GB】グレーベージュ,8999,1545.00000,4573257970076GB,4573257970076,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
11,-,4573257970083,アッシュグレー,長財布(小銭有り)/AG/アッシュグレー,長財布(小銭有り)/AG/アッシュグレー,8999,1545.00000,4573257970083アッシュグレー,4573257970083,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
12,6,4573257970090,RR,長財布(小銭有り)【RR】ロイヤルレッド,長財布(小銭有り)【RR】ロイヤルレッド,8999,1545.00000,4573257970090RR,4573257970090,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
13,-,4573257970106,ブルーグレー,長財布(小銭有り)/BLG/ブルーグレー,長財布(小銭有り)/BLG/ブルーグレー,8999,1545.00000,4573257970106ブルーグレー,4573257970106,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
14,-,4573257970113,ピンクラベンダー,長財布(小銭有り)/PL/ピンクラベンダー,長財布(小銭有り)/PL/ピンクラベンダー,8999,1545.00000,4573257970113ピンクラベンダー,4573257970113,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
15,9,4573257970120,SP,長財布(小銭有り)【SP】サクラピンク,長財布(小銭有り)【SP】サクラピンク,8999,1545.00000,4573257970120SP,4573257970120,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
16,7,4573257970137,PB,長財布(小銭有り)【PB】ピーコックブルー,長財布(小銭有り)【PB】ピーコックブルー,8999,1545.00000,4573257970137PB,4573257970137,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
17,10,4573257970144,MST,長財布(小銭有り)【MST】マスタードイエロー,長財布(小銭有り)【MST】マスタードイエロー,8999,1545.00000,4573257970144MST,4573257970144,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
18,4,4571317083216,BN,二つ折り財布(小銭有り)【BN】ブラックネイビー,二つ折り財布(小銭有り)【BN】ブラックネイビー,6999,1056.00000,4571317083216BN,4571317083216,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
19,3,4571317083223,BK,二つ折り財布(小銭有り)【BK】ブラック,二つ折り財布(小銭有り)【BK】ブラック,6999,1056.00000,4571317083223BK,4571317083223,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
20,12,4571317083230,DB,二つ折り財布(小銭有り)【DB】ダークブラウン,二つ折り財布(小銭有り)【DB】ダークブラウン,6999,1056.00000,4571317083230DB,4571317083230,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
21,11,4573257970212,BG,二つ折り財布(小銭有り)【BG】ブラックグリーン,二つ折り財布(小銭有り)【BG】ブラックグリーン,6999,1056.00000,4573257970212BG,4573257970212,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
22,-,4573257970229,ロイヤルグリーン,二つ折り財布(小銭有り)/RG/ロイヤルグリーン,二つ折り財布(小銭有り)/RG/ロイヤルグリーン,6999,1056.00000,4573257970229ロイヤルグリーン,4573257970229,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
23,5,4573257970236,CB,二つ折り財布(小銭有り)【CB】キャメルブラウン,二つ折り財布(小銭有り)【CB】キャメルブラウン,6999,1056.00000,4573257970236CB,4573257970236,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
24,-,4573257970243,トラッドネイビー,二つ折り財布(小銭有り)/TN/トラッドネイビー,二つ折り財布(小銭有り)/TN/トラッドネイビー,6999,1056.00000,4573257970243トラッドネイビー,4573257970243,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
25,-,4573257970250,ワインレッド,二つ折り財布(小銭有り)/WR/ワインレッド,二つ折り財布(小銭有り)/WR/ワインレッド,6999,1056.00000,4573257970250ワインレッド,4573257970250,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
26,8,4573257970267,WB,二つ折り財布(小銭有り)【WB】ホワイトベージュ,二つ折り財布(小銭有り)【WB】ホワイトベージュ,6999,1056.00000,4573257970267WB,4573257970267,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
27,15,4573257970274,GB,二つ折り財布(小銭有り)【GB】グレーベージュ,二つ折り財布(小銭有り)【GB】グレーベージュ,6999,1056.00000,4573257970274GB,4573257970274,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
28,-,4573257970281,アッシュグレー,二つ折り財布(小銭有り)/AG/アッシュグレー,二つ折り財布(小銭有り)/AG/アッシュグレー,6999,1056.00000,4573257970281アッシュグレー,4573257970281,-,-,-,-,-,-,1,normal,1,normal,0,通常販売
